price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
12.32,1.33,cervezas clásicas mahou pack de 28 latas de 33 cl.,No promotion, clásicas mahou pack de 28 latas de 33 cl.,lata,33 cl,28,,Alcampo
13.49,1.45,cervezas mahou 5 estrellas pack 28 latas x 33 cl.,No promotion, mahou 5 estrellas pack 28 latas x 33 cl.,lata,33 cl,28,,Alcampo
6.36,1.6,cerveza heineken pack de 12 latas de 33 centilitros,No promotion, heineken pack de 12 latas de 33 centilitros,lata,33 c,12,,Alcampo
6.19,1.56,"cervezas amstel 100 % malta pack 12 uds, de 33 cl.",No promotion," amstel 100 % malta pack 12 uds, de 33 cl.",No specified,33 cl,12,,Alcampo
6.19,1.56,cervezas clásicas mahou pack de 12 latas de 33 centilitros,No promotion, clásicas mahou pack de 12 latas de 33 centilitros,lata,33 c,12,,Alcampo
6.83,1.72,cervezas mahou 5 estrellas pack de 12 latas de 33 cl.,No promotion, mahou 5 estrellas pack de 12 latas de 33 cl.,lata,33 cl,12,,Alcampo
8.48,1.41,cervezas cruzcampo pack 24 uds de 25 cl.,No promotion, cruzcampo pack 24 uds de 25 cl.,No specified,25 cl,24,,Alcampo
4.44,1.12,cerveza con limón radler amstel pack 12 uds. x 33 cl.,No promotion, con limón radler amstel pack 12 uds. x 33 cl.,No specified,33 cl,12,,Alcampo
6.19,1.56,cervezas cruzcampo pack 12 uds x 33 cl.,No promotion, cruzcampo pack 12 uds x 33 cl.,No specified,33 cl,12,,Alcampo
0.6,1.2,cerveza alhambra premium lager lata de 50 centilitros,No promotion, alhambra premium lager lata de 50 centilitros,lata,50 c,1,,Alcampo
0.85,1.7,cerveza clásica mahou lata 50 cl.,No promotion, clásica mahou lata 50 cl.,No specified,50 cl,1,,Alcampo
0.64,1.28,cerveza de color dorado brillante con ligero amargor san miguel especial 50 cl.,No promotion, de color dorado brillante con ligero amargor san miguel especial 50 cl.,No specified,50 cl,1,,Alcampo
9.8,1.06,cervezas rubias amstel 100 % malta pack. 28 uds. x 33 cl,No promotion, rubias amstel 100 % malta pack. 28 uds. x 33 cl,No specified,33 cl,28,,Alcampo
9.8,1.06,cervezas rubias cruzcampo pack 28 uds. x 33 cl,No promotion, rubias cruzcampo pack 28 uds. x 33 cl,No specified,33 cl,28,,Alcampo
0.53,1.6,cerveza estrella damm lata de 33 centilitros,No promotion, estrella damm lata de 33 centilitros,lata,33 c,1,,Alcampo
