price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
10.73,1.81,          Cerveza Heineken Lager pack de 18 latas de 33 cl.        ,No promotion,heineken lager,lata,33 cl,18,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
15.31,1.66,          Cerveza Cruzcampo Pilsen pack de 28 latas de 33 cl.        ,No promotion,cruzcampo pilsen,lata,33 cl,28,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
6.5,1.97,          Cerveza El Aguila pack de 10 latas de 33 cl.        ,No promotion,el aguila,lata,33 cl,10,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
11.6,1.93,          Cerveza Estrella Galicia especial pack de 24 botellas de 25 cl.        ,No promotion,estrella galicia especial,botella,25 cl,24,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
6.96,1.76,          Cerveza Mahou Clásica pack de 12 latas de 33 cl.        ,No promotion,mahou clásica,lata,33 cl,12,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
6.41,1.94,          Cerveza especial Estrella Galicia pack 10 latas 33 cl.        ,No promotion,especial estrella galicia,lata,33 cl,10,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
13.98,1.51,          Cerveza Mahou 5 Estrellas especial pack de 28 latas de 33 cl.        ,No promotion,mahou 5 estrellas especial,lata,33 cl,28,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
0.25,0.76,          Cerveza Carrefour Holandesa lata 33 cl.        ,No promotion,carrefour holandesa,lata,33 cl,1,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
2.88,0.73,          Cerveza Carrefour Especial pack de 12 latas de 33 cl.        ,No promotion,carrefour especial,lata,33 cl,12,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
15.4,1.67,          Cerveza Mahou Clásica pack de 28 latas de 33 cl.        ,No promotion,mahou clásica,lata,33 cl,28,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
7.62,1.92,"          Cerveza Mahou 0,0 sin alcohol tostada pack de 12 latas de 33 cl.        ",No promotion,"mahou 0,0 sin alcohol tostada",lata,33 cl,12,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
13.03,3.29,          Cerveza Alhambra Reserva 1925 pack de 12 botellas de 33 cl.        ,No promotion,alhambra reserva 1925,botella,33 cl,12,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
8.16,2.06,          Cerveza Mahou 5 Estrellas especial pack de 12 latas de 33 cl.        ,No promotion,mahou 5 estrellas especial,lata,33 cl,12,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
1.49,2.98,          Cerveza rubia Paulaner Weissbier botella 50 cl.        ,No promotion,rubia paulaner weissbier,botella,50 cl,1,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
14.64,1.58,          Cerveza San Miguel especial Lager pack de 28 latas de 33 cl.        ,No promotion,san miguel especial lager,lata,33 cl,28,https://revertia.com/wp-content/uploads/2014/04/carrefour-logo.jpg,Carrefour
