price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
0.78,2.36,budweiser cerveza rubia estadounidense lata 33 cl ,2ª-50%2ª unidad al 50% de descuento..SECOND OFFERT: 21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,budweiser ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202001/30/00118601700158____3__325x325.jpg,El Corte Ingles
6.56,2.19,estrella galicia cerveza rubia especial pack 12 botellas 25 cl ,2ª-50%2ª unidad al 50% de descuento..SECOND OFFERT: 21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,estrella galicia ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202102/19/00118602201552____5__325x325.jpg,El Corte Ingles
6.72,1.7,mahou clasica cerveza rubia original pack 12 latas 33 cl ,2ª-50%2ª unidad al 50% de descuentoPuedes combinar productos ¡pulsa aquí!..SECOND OFFERT: 21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,lata,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300364____6__325x325.jpg,El Corte Ingles
15.4,1.67,mahou clasica cerveza rubia original pack 28 latas 33 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,lata,33 cl,28,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301222____6__325x325.jpg,El Corte Ingles
4.85,1.62,mahou clasica cerveza rubia original pack 12 botellas 25 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,botella,25 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200653____5__325x325.jpg,El Corte Ingles
1.37,1.37,mahou clasica cerveza rubia original botella 1 l ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,botella,1 l,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200562____3__325x325.jpg,El Corte Ingles
2.68,1.79,mahou clasica cerveza rubia original pack 6 botellas 25 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,botella,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118602200588____5__325x325.jpg,El Corte Ingles
0.58,1.76,mahou clasica cerveza rubia original lata 33 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600300356____2__325x325.jpg,El Corte Ingles
0.79,1.58,mahou clasica cerveza rubia original lata 50 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00118600301214____1__325x325.jpg,El Corte Ingles
10.25,1.71,mahou clasica cerveza rubia original pack 24 botellas 25 cl ,21 % de descuento por compras superiores a 20 € (excepto dietéticas)Puedes combinar productos ¡pulsa aquí!,mahou clasica ,botella,25 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201706/22/00200502200645____5__325x325.jpg,El Corte Ingles
