price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
2.69,1.36,DIA cerveza especial pack 6 botellas 33 cl,No promotion,dia,botella,33 cl,6,https://s2.dia.es/medias/h8f/hdc/8821882978334.png,Dia
0.75,0.75,DIA RAMBLERS cerveza lager botella 1 lt,No promotion,dia ramblers,botella,1 l,1,https://s3.dia.es/medias/h08/h71/10301253287966.jpg,Dia
0.49,1.48,AMSTEL cerveza lata 33 cl,No promotion,amstel,lata,33 cl,1,https://s0.dia.es/medias/h0b/h05/10368009404446.jpg,Dia
0.45,0.9,DIA cerveza alemana lata 50 cl,No promotion,dia,lata,50 cl,1,https://s0.dia.es/medias/h29/h37/8821852569630.png,Dia
1.99,1.33,DIA RAMBLERS cerveza lager pack 6 botellas 25 cl,No promotion,dia ramblers,botella,25 cl,6,https://s1.dia.es/medias/h46/h9b/10351174189086.jpg,Dia
2.79,1.86,AMSTEL cerveza pack 6 botellas 25 cl,No promotion,amstel,botella,25 cl,6,https://s0.dia.es/medias/hf2/h64/10368054755358.jpg,Dia
0.25,0.76,DIA RAMBLERS cerveza lager lata 33 cl,No promotion,dia ramblers,lata,33 cl,1,https://s3.dia.es/medias/h76/hfa/10301252567070.jpg,Dia
0.69,2.09,ESTRELLA GALICIA cerveza especial lata 33 cl,No promotion,estrella galicia,lata,33 cl,1,https://s0.dia.es/medias/hde/h73/10347868684318.jpg,Dia
0.79,2.39,VOLL-DAMM cerveza doble malta lata 33 cl,No promotion,voll-damm,lata,33 cl,1,https://s0.dia.es/medias/h57/hc1/9545995649054.jpg,Dia
0.57,1.73,HEINEKEN cerveza lata 33 cl,No promotion,heineken,lata,33 cl,1,https://s0.dia.es/medias/h68/hcc/9950624743454.jpg,Dia
0.35,1.06,DIA cerveza especial lata 33 cl,No promotion,dia,lata,33 cl,1,https://s2.dia.es/medias/h46/hb5/8822550659102.png,Dia
5.89,2.97,1906 cerveza reserva especial pack 6 botellas 33 cl,No promotion,1906,botella,33 cl,6,https://s3.dia.es/medias/h21/h36/10347711528990.jpg,Dia
3.99,2.66,HEINEKEN cerveza pack 6 botellas 25 cl,No promotion,heineken,botella,25 cl,6,https://s0.dia.es/medias/h21/h70/10368053116958.jpg,Dia
6.79,1.71,AMSTEL cerveza pack 12 latas 33 cl,No promotion,amstel,lata,33 cl,12,https://s1.dia.es/medias/h05/h9d/10368010059806.jpg,Dia
0.45,1.36,DIA cerveza extra lata 33 cl,No promotion,dia,lata,33 cl,1,https://s0.dia.es/medias/hdc/h97/8822996172830.png,Dia
2.99,1.99,SHANDY CRUZCAMPO cerveza con limón pack 6 botella 25 cl,No promotion,shandy cruzcampo,botella,25 cl,6,https://s1.dia.es/medias/h73/h8d/10368054099998.jpg,Dia
0.65,1.97,"BUCKLER cerveza 0,0% alcohol lata 33 cl",No promotion,buckler,lata,33 cl,1,https://s1.dia.es/medias/hd4/h82/10368051150878.jpg,Dia
0.33,1.0,"DIA cerveza 0,0% alcohol lata 33 cl",No promotion,dia,lata,33 cl,1,https://s1.dia.es/medias/h06/h27/9102843412510.jpg,Dia
0.69,2.09,SHANDY CRUZCAMPO cerveza con limón lata 33 cl ,No promotion,shandy cruzcampo,lata,33 cl,1,https://s1.dia.es/medias/h72/h4b/10368049512478.jpg,Dia
0.35,1.06,DIA Shandy cerveza con limón lata 33 cl,No promotion,dia shandy,lata,33 cl,1,https://s1.dia.es/medias/h87/h66/8823069114398.png,Dia
0.6,1.82,"SAN MIGUEL cerveza radler con limón 0,0% alcohol lata 33 cl",No promotion,san miguel,lata,33 cl,1,https://s1.dia.es/medias/h38/h72/10368068583454.jpg,Dia
0.59,1.79,"AMSTEL cerveza 0,0% alcohol lata 33 cl",No promotion,amstel,lata,33 cl,1,https://s3.dia.es/medias/h82/h89/10368057442334.jpg,Dia
1.49,4.52,DESPERADOS cerveza con tequila botella 33 cl,No promotion,desperados,botella,33 cl,1,https://s3.dia.es/medias/he0/h0a/9626447806494.jpg,Dia
1.69,5.12,GRIMBERGEN cerveza doble ambrée belga botella 33 cl,No promotion,grimbergen,botella,33 cl,1,https://s0.dia.es/medias/h2b/h75/9847969021982.jpg,Dia
0.89,1.78,AMSTEL cerveza lata 50 cl,No promotion,amstel,lata,50 cl,1,https://s3.dia.es/medias/hb4/ha3/9626455441438.jpg,Dia
0.29,0.88,AMSTEL cerveza clásica lata 33 cl,No promotion,amstel,lata,33 cl,1,https://s2.dia.es/medias/h60/h9b/10368051806238.jpg,Dia
0.69,2.09,AMSTEL cerveza radler con limón lata 33 cl,No promotion,amstel,lata,33 cl,1,https://s2.dia.es/medias/h94/hc8/10368055083038.jpg,Dia
0.79,2.39,AMSTEL Oro cerveza tostada lata 33 cl,No promotion,amstel oro,lata,33 cl,1,https://s0.dia.es/medias/h04/hc3/10368048791582.jpg,Dia
1.45,2.9,PAULANER cerveza de trigo alemana botella 50 cl,No promotion,paulaner,botella,50 cl,1,https://s3.dia.es/medias/h2d/ha1/10368005996574.jpg,Dia
