price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
13.02,1.64,"Cerveza SAN MIGUEL, pack lata 24x33 cl",2ª unidad -70%,san miguel,lata,33 cl,24,https://supermercado.eroski.es/images/8703969.jpg,Eroski
6.6,1.67,"Cerveza SAN MIGUEL, pack lata 12x33 cl",No promotion,san miguel,lata,33 cl,12,https://supermercado.eroski.es/images/8703977.jpg,Eroski
6.96,1.76,"Cerveza MAHOU Clásica, pack 12x33 cl",No promotion,mahou clásica,No specified,33 cl,12,https://supermercado.eroski.es/images/16514549.jpg,Eroski
14.25,1.79,"Cerveza MAHOU 5 Estrellas, pack 24x33 cl",No promotion,mahou 5 estrellas,No specified,33 cl,24,https://supermercado.eroski.es/images/10869311.jpg,Eroski
4.96,3.76,"Cerveza Reserva 1925 ALHAMBRA, pack 4x33 cl",No promotion,reserva 1925 alhambra,No specified,33 cl,4,https://supermercado.eroski.es/images/142380.jpg,Eroski
4.95,1.76,"Cerveza SAN MIGUEL, pack botellín 12x25 cl","5,31 € Antes",san miguel,No specified,25 cl,12,https://supermercado.eroski.es/images/19501378.jpg,Eroski
0.64,1.94,"Cerveza 0,0 tostada MAHOU, lata 33 cl",No promotion,"0,0 tostada mahou",lata,33 cl,1,https://supermercado.eroski.es/images/4300638.jpg,Eroski
10.32,1.72,"Cerveza SAN MIGUEL, pack botellín 24x25 cl",No promotion,san miguel,No specified,25 cl,24,https://supermercado.eroski.es/images/6071971.jpg,Eroski
6.84,2.28,"Cerveza MAHOU 5 Estrellas, pack botellín 12x25 cl",No promotion,mahou 5 estrellas,No specified,25 cl,12,https://supermercado.eroski.es/images/16944415.jpg,Eroski
6.72,1.7,"Cerveza ALHAMBRA Tradición, pack lata 12x33 cl",No promotion,alhambra tradición,lata,33 cl,12,https://supermercado.eroski.es/images/8704215.jpg,Eroski
8.16,2.06,"Cerveza MAHOU 5 Estrellas, pack lata 12x33 cl",No promotion,mahou 5 estrellas,lata,33 cl,12,https://supermercado.eroski.es/images/597773.jpg,Eroski
1.35,3.8,"Cerveza mexicana CORONA, botellín 35.5 cl",No promotion,mexicana corona,No specified,35.5 cl,1,https://supermercado.eroski.es/images/12834164.jpg,Eroski
14.95,1.61,"Cerveza SAN MIGUEL, pack lata 28x33 cl",No promotion,san miguel,lata,33 cl,28,https://supermercado.eroski.es/images/465740.jpg,Eroski
0.8,2.42,"Cerveza americana BUDWEISER, lata 33 cl",No promotion,americana budweiser,lata,33 cl,1,https://supermercado.eroski.es/images/16640195.jpg,Eroski
4.99,3.95,  0,2ª unidad -70%,coronita,No specified,21 cl,6,https://supermercado.eroski.es/images/373498.jpg,Eroski
0.57,1.73,"Cerveza SAN MIGUEL, lata 33 cl",No promotion,san miguel,lata,33 cl,1,https://supermercado.eroski.es/images/3347358.jpg,Eroski
0.58,1.76,"Cerveza sin alcohol 0,0 SAN MIGUEL, lata 33 cl",No promotion,"sin alcohol 0,0 san miguel",lata,33 cl,1,https://supermercado.eroski.es/images/9102336.jpg,Eroski
1.43,2.86,"Cerveza alemana FRANZISKANER, botellín 50 cl",No promotion,alemana franziskaner,No specified,50 cl,1,https://supermercado.eroski.es/images/1793942.jpg,Eroski
0.58,1.76,"Cerveza sin alcohol MAHOU, lata 33 cl",No promotion,sin alcohol mahou,lata,33 cl,1,https://supermercado.eroski.es/images/18623652.jpg,Eroski
0.71,2.15,  0,"0,84 € Antes",mahou maestra,lata,33 cl,1,https://supermercado.eroski.es/images/22226070.jpg,Eroski
0.95,2.88,"Cerveza Ipa MAHOU 5 Estrellas, lata 33 cl",No promotion,ipa mahou 5 estrellas,lata,33 cl,1,https://supermercado.eroski.es/images/319061.jpg,Eroski
2.3,1.52,  0,"2,79 € Antes",san miguel,No specified,25 cl,6,https://supermercado.eroski.es/images/870055.jpg,Eroski
1.59,4.82,"Cerveza belga rubia LEFFE, botellín 33 cl",No promotion,belga rubia leffe,No specified,33 cl,1,https://supermercado.eroski.es/images/1185743.jpg,Eroski
2.52,1.68,"Cerveza sin alcohol 0,0 SAN MIGUEL, pack botellín 6x25 cl",No promotion,"sin alcohol 0,0 san miguel",No specified,25 cl,6,https://supermercado.eroski.es/images/18532622.jpg,Eroski
6.8,1.73,  0,"8,04 € Antes",especial alhambra,lata,33 cl,12,https://supermercado.eroski.es/images/22016737.jpg,Eroski
6.5,1.64,  0,"7,62 € Antes","0,0 tostada mahou",No specified,33 cl,12,https://supermercado.eroski.es/images/19191980.jpg,Eroski
4.8,3.64,"Cerveza Reserva Roja ALHAMBRA, pack botellín 4x33 cl",No promotion,reserva roja alhambra,No specified,33 cl,4,https://supermercado.eroski.es/images/256461.jpg,Eroski
0.83,1.66,"Cerveza SAN MIGUEL, lata 50 cl",No promotion,san miguel,lata,50 cl,1,https://supermercado.eroski.es/images/13749205.jpg,Eroski
15.4,1.67,"Cerveza MAHOU Clásica, pack 28x33 cl",No promotion,mahou clásica,No specified,33 cl,28,https://supermercado.eroski.es/images/16551004.jpg,Eroski
6.72,1.7,  0,2ª unidad -70%,"0,0 san miguel",lata,33 cl,12,https://supermercado.eroski.es/images/10917284.jpg,Eroski
0.81,2.45,"Cerveza SAN MIGUEL Selecta, lata 33 cl",No promotion,san miguel selecta,lata,33 cl,1,https://supermercado.eroski.es/images/939038.jpg,Eroski
0.57,1.73,"Cerveza ALHAMBRA Tradición, lata 33 cl",No promotion,alhambra tradición,lata,33 cl,1,https://supermercado.eroski.es/images/18529347.jpg,Eroski
3.1,2.08,"Cerveza ALHAMBRA Especial, pack botellín 6x25 cl",No promotion,alhambra especial,No specified,25 cl,6,https://supermercado.eroski.es/images/18532648.jpg,Eroski
0.72,2.18,"Cerveza sin gluten MAHOU, lata 33 cl",No promotion,sin gluten mahou,lata,33 cl,1,https://supermercado.eroski.es/images/19500552.jpg,Eroski
0.65,1.97,"Cerveza Lager Auténtica LA SALVE, lata 33 cl",No promotion,lager auténtica la salve,lata,33 cl,1,https://supermercado.eroski.es/images/7522303.jpg,Eroski
0.62,1.88,"Cerveza MAHOU Shandy Mixta, lata 33 cl",No promotion,mahou shandy mixta,lata,33 cl,1,https://supermercado.eroski.es/images/311720.jpg,Eroski
3.49,2.32,"Cerveza MAHOU 5 Estrellas, pack botellín 6x25 cl",No promotion,mahou 5 estrellas,No specified,25 cl,6,https://supermercado.eroski.es/images/13252192.jpg,Eroski
