price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
12.32,1.33,cervezas clásicas mahou pack de 28 latas de 33 cl.,No promotion,mahou clasica,lata,33 cl,28,https://www.alcampo.es/media/ha9/h39/10033535713310.jpg,Alcampo,no,0,others
14.49,1.56,cervezas mahou 5 estrellas pack 28 latas x 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,28,https://www.alcampo.es/media/h11/h90/9021161406494.jpg,Alcampo,no,1,others
5.49,1.38,cerveza heineken pack de 12 latas de 33 centilitros,No promotion,heineken,lata,33 cl,12,https://www.alcampo.es/media/h11/hf7/10546392104990.jpg,Alcampo,no,2,others
5.08,1.28,"cervezas amstel 100 % malta pack 12 uds, de 33 cl.",No promotion,amstel original,No specified,33 cl,12,https://www.alcampo.es/media/h71/h0b/10547251052574.jpg,Alcampo,no,3,others
5.75,1.45,cervezas clásicas mahou pack de 12 latas de 33 centilitros,No promotion,mahou clasica,lata,33 cl,12,https://www.alcampo.es/media/hc6/hd0/10519070375966.jpg,Alcampo,no,4,others
5.95,1.5,cervezas mahou 5 estrellas pack de 12 latas de 33 cl.,No promotion,mahou 5 estrellas,lata,33 cl,12,https://www.alcampo.es/media/h8b/h50/10546875990046.jpg,Alcampo,no,5,others
8.48,1.41,cervezas cruzcampo pack 24 uds de 25 cl.,No promotion,cruzcampo,No specified,25 cl,24,https://www.alcampo.es/media/h4a/h37/9546880090142.jpg,Alcampo,no,6,others
4.44,1.12,cerveza con limón radler amstel pack 12 uds. x 33 cl.,No promotion,amstel radler,No specified,33 cl,12,https://www.alcampo.es/media/hcd/hf2/10546699927582.jpg,Alcampo,no,7,radler 
6.19,1.56,cervezas cruzcampo pack 12 uds x 33 cl.,No promotion,cruzcampo,No specified,33 cl,12,https://www.alcampo.es/media/h33/h4f/10518921805854.jpg,Alcampo,no,8,others
0.54,1.08,cerveza alhambra premium lager lata de 50 centilitros,No promotion,alhambra,lata,50 cl,1,https://www.alcampo.es/media/h85/he9/10546409930782.jpg,Alcampo,no,9,others
0.76,1.52,cerveza clásica mahou lata 50 cl.,No promotion,mahou clasica,No specified,50 cl,1,https://www.alcampo.es/media/h7f/hb1/10546873008158.jpg,Alcampo,no,10,others
0.77,1.54,cerveza de color dorado brillante con ligero amargor san miguel especial 50 cl.,No promotion,san miguel,No specified,50 cl,1,https://www.alcampo.es/media/h80/h64/10546342887454.jpg,Alcampo,no,11,others
0.54,1.63,cerveza estrella damm lata de 33 centilitros,No promotion,estrella damm,lata,33 cl,1,https://www.alcampo.es/media/h2d/h1c/8952688476190.jpg,Alcampo,no,12,others
2.88,0.72,cerveza heifer pack de 12 latas de 33 cl.,No promotion,heifer,lata,33 cl,12,https://www.alcampo.es/media/h30/h91/8901497192478.jpg,Alcampo,no,13,others
0.49,1.48,cerveza tostada 0.0 alcohol mahou lata 33 cl.,No promotion,"mahou sin alcohol (0,0%)",lata,33 cl,1,https://www.alcampo.es/media/h38/h49/9006978924574.jpg,Alcampo,no,14,sin alcohol 
0.51,1.54,cerveza sin alcohol free damm lata 33 centilitros,No promotion,free damm,No specified,33 cl,1,https://www.alcampo.es/media/hd3/hce/8952633360414.jpg,Alcampo,no,15,sin alcohol 
0.24,0.72,cerveza heifer lata de 33 cl.,No promotion,heifer,No specified,33 cl,1,https://www.alcampo.es/media/hed/hc1/8898855698462.jpg,Alcampo,no,16,others
0.64,1.93,cerveza doble malta voll damm lata 33 centilitros,No promotion,voll-damm,No specified,33 cl,1,https://www.alcampo.es/media/h16/ha1/8952613961758.jpg,Alcampo,no,17,others
5.82,1.94,cervezas estrella galicia especial pack 12 uds. x 25 cl,No promotion,estrella galicia,No specified,25 cl,12,https://www.alcampo.es/media/hde/h0f/9460774731806.jpg,Alcampo,no,18,others
1.14,2.28,cerveza de trigo alemana paulaner naturtrüf botella 50 cl.,No promotion,paulaner,botella,50 cl,1,https://www.alcampo.es/media/hd5/he5/9888522797086.jpg,Alcampo,no,19,others
0.46,1.39,cerveza con limón sin alcohol shandy cruzcampo lata de 33 cl.,No promotion,"cruzcampo shandy sin alcohol (0,0%)",lata,33 cl,1,https://www.alcampo.es/media/hae/h75/9546888806430.jpg,Alcampo,no,20,sin alcohol 
0.27,0.81,cerveza rubia con malta y maíz de importación holandesa holbrand lata 33 cl.,No promotion,holbrand,lata,33 cl,1,https://www.alcampo.es/media/hf9/h8a/9308416573470.jpg,Alcampo,no,21,others
0.54,1.63,"cerveza 0,0% heineken lata 33 cl.",No promotion,"heineken sin alcohol (0,0%)",lata,33 cl,1,https://www.alcampo.es/media/hb5/h5f/9546883956766.jpg,Alcampo,no,22,sin alcohol 
